,word,valence,arousal,dominance
11383,morgue,0.022,0.539,0.241
11384,moribond,0.083,0.488,0.167
11385,matin,0.542,0.284,0.345
11386,Matin,0.688,0.235,0.444
11387,idiot,0.133,0.587,0.183
11388,débile,0.122,0.500,0.224
11389,morose,0.240,0.663,0.264
11390,morph,0.448,0.469,0.451
11391,morphine,0.229,0.490,0.496
11392,morphisme,0.398,0.549,0.386
11393,morphologie,0.516,0.373,0.639
11394,demain,0.708,0.314,0.490
11395,morceau,0.490,0.296,0.400
11396,mortel,0.196,0.786,0.510
11397,mortalité,0.229,0.726,0.518
11398,mortier,0.333,0.627,0.562
11399,hypothèque,0.255,0.408,0.537
11400,créancier hypothécaire,0.418,0.633,0.723
11401,débiteur hypothécaire,0.431,0.522,0.490
11402,entrepreneur de pompes funèbres,0.104,0.429,0.275
11403,mortification,0.135,0.644,0.404
11404,mortifié,0.073,0.731,0.270
11405,mortuaire,0.133,0.606,0.427
11406,mosaïque,0.635,0.250,0.302
11407,baguenauder,0.521,0.402,0.330
11408,mosquée,0.542,0.352,0.528
11409,moustique,0.229,0.400,0.198
11410,mousse,0.235,0.270,0.245
11411,moussu,0.375,0.329,0.286
11412,NO TRANSLATION,0.375,0.388,0.260
11413,motel,0.531,0.372,0.450
11414,papillon de nuit,0.323,0.350,0.196
11415,mère,0.931,0.408,0.725
11416,connard,0.122,0.827,0.351
11417,enfoncer,0.071,0.823,0.373
11418,maternité,0.844,0.546,0.667
11419,mère patrie,0.677,0.375,0.731
11420,sans mère,0.163,0.541,0.337
11421,maternel,0.927,0.324,0.710
11422,motif,0.688,0.481,0.527
11423,mouvement,0.667,0.538,0.657
11424,immobile,0.323,0.210,0.246
11425,motiver,0.812,0.776,0.873
11426,motivant,0.958,0.820,0.787
11427,motivation,0.854,0.784,0.802
11428,motivationnel,0.906,0.646,0.858
11429,motif,0.667,0.588,0.663
11430,hétéroclite,0.480,0.398,0.412
11431,moteur,0.531,0.551,0.648
11432,moto,0.552,0.608,0.616
11433,bateau à moteur,0.677,0.500,0.390
11434,cortège,0.708,0.730,0.593
11435,Voiture,0.694,0.565,0.682
11436,moto,0.677,0.764,0.713
11437,automobiliste,0.562,0.663,0.578
11438,motte,0.481,0.389,0.370
11439,tacheté,0.380,0.336,0.295
11440,devise,0.688,0.317,0.439
11441,moule,0.357,0.176,0.246
11442,monticule,0.520,0.481,0.509
11443,monter,0.500,0.292,0.348
11444,Montagne,0.698,0.408,0.649
11445,alpiniste,0.635,0.774,0.535
11446,montagneux,0.635,0.519,0.612
11447,les montagnes,0.766,0.433,0.569
11448,sommet de la montagne,0.653,0.541,0.713
11449,faire le deuil,0.056,0.583,0.150
11450,triste,0.180,0.441,0.188
11451,deuil,0.177,0.490,0.266
11452,Souris,0.427,0.441,0.206
11453,piege a souris,0.180,0.643,0.330
11454,mousse,0.604,0.336,0.368
11455,moustache,0.470,0.236,0.409
11456,timide,0.480,0.413,0.339
11457,bouche,0.734,0.294,0.336
11458,bouchée,0.609,0.565,0.389
11459,embouchure,0.573,0.346,0.393
11460,bain de bouche,0.438,0.385,0.352
11461,mobile,0.469,0.509,0.500
11462,bouge toi,0.656,0.647,0.670
11463,mouvement,0.656,0.654,0.658
11464,déménageur,0.615,0.539,0.466
11465,film,0.792,0.560,0.471
11466,films,0.724,0.426,0.472
11467,en mouvement,0.479,0.673,0.358
11468,NO TRANSLATION,0.857,0.518,0.848
11469,movingon,0.490,0.529,0.435
11470,tondre,0.420,0.559,0.393
11471,tondeuse,0.458,0.510,0.368
11472,moxie,0.531,0.490,0.366
11473,mozzarella,0.653,0.265,0.340
11474,mri,0.365,0.431,0.349
11475,NO TRANSLATION,0.438,0.602,0.455
11476,NO TRANSLATION,0.398,0.418,0.420
11477,boue,0.347,0.423,0.272
11478,mucked,0.184,0.500,0.373
11479,muqueux,0.330,0.296,0.293
11480,mucus,0.143,0.309,0.228
11481,boue,0.333,0.260,0.185
11482,confusion,0.184,0.710,0.336
11483,embrouillé,0.250,0.615,0.263
11484,boueux,0.292,0.400,0.283
11485,manchon,0.542,0.335,0.314
11486,muffin,0.684,0.430,0.306
11487,étouffé,0.479,0.330,0.421
11488,silencieux,0.357,0.407,0.454
11489,agresser,0.542,0.214,0.382
11490,agresseur,0.125,0.850,0.500
11491,mûre,0.469,0.315,0.361
11492,paillis,0.349,0.361,0.383
11493,mule,0.320,0.337,0.254
11494,réfléchir,0.663,0.340,0.594
11495,mulet,0.521,0.356,0.377
11496,multilatéral,0.500,0.469,0.705
11497,multimédia,0.611,0.390,0.607
11498,multinational,0.656,0.510,0.842
11499,plusieurs,0.660,0.510,0.578
11500,sclérose en plaque,0.188,0.587,0.483
11501,multiplex,0.610,0.590,0.667
11502,multiplication,0.646,0.565,0.762
11503,multiplicité,0.677,0.490,0.777
11504,multiplié,0.802,0.559,0.729
11505,multiplicateur,0.643,0.615,0.741
11506,multiplier,0.802,0.625,0.777
11507,multitude,0.562,0.765,0.847
11508,maman,0.802,0.317,0.698
11509,marmonner,0.292,0.444,0.245
11510,mumbo,0.429,0.506,0.336
11511,Maman,0.400,0.588,0.415
11512,oreillons,0.099,0.410,0.311
11513,croquer,0.541,0.277,0.434
11514,munchies,0.562,0.470,0.491
11515,Munchkin,0.490,0.466,0.374
11516,banal,0.312,0.420,0.480
11517,municipal,0.625,0.390,0.758
11518,municipalité,0.569,0.280,0.614
11519,mural,0.551,0.265,0.454
11520,meurtre,0.061,0.942,0.615
11521,meurtrier,0.010,0.960,0.650
11522,meurtrière,0.041,0.941,0.462
11523,meurtrier,0.017,0.940,0.682
11524,sombre,0.143,0.618,0.370
11525,murmure,0.458,0.520,0.200
11526,muscle,0.359,0.490,0.645
11527,musclé,0.531,0.434,0.577
11528,muse,0.760,0.360,0.509
11529,muses,0.714,0.434,0.571
11530,musée,0.792,0.206,0.481
11531,NO TRANSLATION,0.500,0.311,0.125
11532,champignon,0.490,0.274,0.269
11533,détrempé,0.520,0.200,0.182
11534,la musique,0.833,0.563,0.605
11535,musical,0.908,0.630,0.530
11536,musicien,0.816,0.509,0.618
11537,rêver,0.740,0.151,0.465
11538,musc,0.469,0.454,0.453
11539,mousquet,0.260,0.654,0.510
11540,mousquetaire,0.694,0.569,0.705
11541,rat musqué,0.439,0.510,0.368
11542,mousseline,0.439,0.304,0.352
11543,NO TRANSLATION,0.418,0.438,0.302
11544,doit,0.408,0.382,0.441
11545,mustang,0.635,0.642,0.708
11546,moutarde,0.500,0.346,0.275
11547,rassemblement,0.635,0.460,0.548
11548,de moisi,0.354,0.367,0.267
11549,mutable,0.426,0.531,0.491
11550,mutant,0.337,0.676,0.573
11551,subir une mutation,0.281,0.548,0.463
11552,mutation,0.365,0.625,0.611
11553,muet,0.271,0.200,0.250
11554,en sourdine,0.260,0.167,0.162
11555,mutiler,0.125,0.900,0.465
11556,mutilé,0.041,0.841,0.356
11557,mutilation,0.122,0.782,0.456
11558,mutinerie,0.323,0.890,0.549
11559,cabot,0.418,0.408,0.387
11560,NO TRANSLATION,0.406,0.427,0.228
11561,viande de mouton,0.427,0.283,0.393
11562,mutuel,0.729,0.321,0.464
11563,mutuellement,0.844,0.490,0.582
11564,museau,0.388,0.430,0.232
11565,mon préféré,0.812,0.587,0.615
11566,myopie,0.245,0.387,0.226
11567,myope,0.344,0.396,0.218
11568,myriade,0.480,0.429,0.550
11569,mystérieux,0.448,0.699,0.455
11570,mystère,0.417,0.667,0.519
11571,mystique,0.643,0.520,0.535
11572,mystique,0.594,0.443,0.689
11573,mysticisme,0.594,0.598,0.423
11574,mystifié,0.344,0.600,0.509
11575,mystique,0.668,0.633,0.667
11576,mythe,0.458,0.432,0.338
11577,mythique,0.635,0.528,0.645
11578,mythique,0.625,0.556,0.583
11579,mythologique,0.760,0.573,0.658
11580,mythologie,0.684,0.439,0.688
11581,nab,0.469,0.544,0.407
11582,nacho,0.667,0.259,0.333
11583,NO TRANSLATION,0.250,0.231,0.136
11584,nadir,0.479,0.363,0.424
11585,NO TRANSLATION,0.271,0.451,0.472
11586,clou,0.469,0.397,0.282
11587,cloueuse,0.378,0.806,0.574
11588,naïve,0.406,0.260,0.375
11589,nu,0.323,0.885,0.288
11590,nudité,0.480,0.760,0.350
11591,NO TRANSLATION,0.719,0.255,0.464
11592,prénom,0.573,0.300,0.415
11593,nommé,0.562,0.396,0.565
11594,sans nom,0.344,0.280,0.164
11595,homonyme,0.418,0.327,0.404
11596,appellation,0.667,0.410,0.559
11597,nana,0.765,0.255,0.375
11598,nounou,0.615,0.370,0.528
11599,nanomètre,0.375,0.356,0.446
11600,NO TRANSLATION,0.660,0.098,0.342
11601,napalm,0.265,0.580,0.471
11602,nuque,0.427,0.268,0.298
11603,serviette de table,0.469,0.142,0.209
11604,sieste,0.765,0.046,0.306
11605,couche,0.529,0.333,0.207
11606,narcissisme,0.214,0.639,0.540
11607,narcissique,0.173,0.614,0.629
11608,narcissique,0.323,0.708,0.655
11609,narcotique,0.102,0.858,0.450
11610,raconter,0.541,0.480,0.473
11611,narration,0.622,0.408,0.551
11612,récit,0.580,0.303,0.443
11613,narrateur,0.673,0.430,0.623
11614,étroit,0.260,0.368,0.356
11615,rétrécissement,0.354,0.593,0.357
11616,nasale,0.479,0.340,0.330
11617,naissant,0.684,0.373,0.585
11618,méchant,0.115,0.620,0.264
11619,natal,0.755,0.462,0.481
11620,nation,0.594,0.443,0.821
11621,nationale,0.698,0.365,0.663
11622,nationalité,0.642,0.400,0.772
11623,à l'échelle nationale,0.684,0.217,0.672
11624,originaire de,0.635,0.422,0.710
11625,Nativité,0.750,0.337,0.673
11626,Naturel,0.854,0.118,0.481
11627,gaz naturel,0.635,0.324,0.396
11628,naturaliste,0.844,0.255,0.562
11629,naturalisation,0.781,0.279,0.652
11630,naturalisé,0.760,0.333,0.600
11631,naturellement,0.854,0.276,0.549
11632,la nature,0.857,0.184,0.643
11633,néant,0.344,0.176,0.161
11634,vilain,0.451,0.857,0.371
11635,la nausée,0.104,0.781,0.273
11636,écœurer,0.062,0.660,0.176
11637,nauséeux,0.021,0.640,0.250
11638,nauséeux,0.135,0.780,0.284
11639,nautique,0.646,0.250,0.579
11640,nautile,0.396,0.509,0.517
11641,naval,0.542,0.449,0.679
11642,nef,0.583,0.448,0.585
11643,nombril,0.448,0.261,0.276
11644,navigable,0.749,0.406,0.645
11645,naviguer,0.740,0.555,0.675
11646,la navigation,0.841,0.470,0.720
11647,navigation,0.573,0.481,0.564
11648,navigateur,0.583,0.592,0.623
11649,marine,0.531,0.760,0.764
11650,NO TRANSLATION,0.344,0.290,0.325
11651,myope,0.271,0.373,0.265
11652,soigné,0.878,0.235,0.491
11653,soigneusement,0.802,0.412,0.588
11654,nébuleuse,0.510,0.418,0.438
11655,nébuleuses,0.490,0.330,0.472
11656,nébuleux,0.469,0.347,0.417
11657,nécessairement,0.667,0.423,0.598
11658,nécessaire,0.750,0.433,0.679
11659,nécessiter,0.578,0.604,0.516
11660,nécessités,0.520,0.630,0.463
11661,nécessité,0.567,0.471,0.588
11662,cou,0.541,0.245,0.345
11663,Collier,0.760,0.294,0.373
11664,cravate,0.583,0.229,0.314
11665,nécromancien,0.333,0.625,0.536
11666,nécrose,0.115,0.622,0.385
11667,nectar,0.746,0.331,0.398
11668,avoir besoin,0.510,0.574,0.200
11669,NO TRANSLATION,0.490,0.443,0.394
11670,nécessaire,0.677,0.342,0.679
11671,nécessaire,0.582,0.460,0.614
11672,NO TRANSLATION,0.250,0.472,0.356
11673,aiguille,0.250,0.472,0.360
11674,needlepoint,0.653,0.500,0.556
11675,aiguilles,0.250,0.602,0.348
11676,inutile,0.327,0.385,0.200
11677,dois savoir,0.427,0.606,0.474
11678,NO TRANSLATION,0.673,0.438,0.274
11679,nécessiteux,0.360,0.451,0.245
11680,infâme,0.184,0.720,0.528
11681,négation,0.255,0.461,0.297
11682,négatif,0.102,0.527,0.176
11683,négativité,0.060,0.520,0.273
11684,négligence,0.045,0.550,0.163
11685,négligé,0.271,0.385,0.160
11686,négliger,0.177,0.441,0.230
11687,négligé,0.385,0.520,0.336
11688,négligence,0.092,0.570,0.251
11689,négligent,0.167,0.583,0.259
11690,NO TRANSLATION,0.056,0.583,0.266
11691,négligeable,0.177,0.292,0.232
11692,négociable,0.688,0.585,0.731
11693,négocier,0.612,0.708,0.769
11694,négociation,0.490,0.615,0.728
11695,négociateur,0.635,0.471,0.817
11696,nègre,0.354,0.368,0.461
11697,hennir,0.378,0.642,0.373
11698,voisin,0.657,0.448,0.434
11699,quartier,0.385,0.469,0.373
11700,voisin,0.656,0.306,0.481
11701,Némésis,0.271,0.688,0.647
11702,néon,0.594,0.480,0.380
11703,néonatal,0.542,0.529,0.357
11704,néophyte,0.286,0.363,0.411
11705,néoprène,0.316,0.451,0.443
11706,neveu,0.719,0.337,0.412
11707,népotisme,0.349,0.584,0.517
11708,nerd,0.408,0.481,0.315
11709,ringard,0.296,0.255,0.292
11710,nerf,0.129,0.698,0.307
11711,nerfs,0.333,0.783,0.264
11712,nerveux,0.235,0.820,0.213
11713,nervosité,0.163,0.915,0.241
11714,NO TRANSLATION,0.112,0.867,0.179
11715,NO TRANSLATION,0.250,0.830,0.241
11716,ness,0.396,0.480,0.392
11717,nid,0.687,0.221,0.333
11718,se nicher,0.625,0.308,0.379
11719,oisillon,0.604,0.427,0.286
11720,net,0.441,0.288,0.417
11721,bas,0.240,0.265,0.259
11722,filets,0.368,0.509,0.585
11723,ortie,0.406,0.324,0.490
11724,réseau,0.531,0.337,0.466
11725,la mise en réseau,0.625,0.482,0.545
11726,neural,0.582,0.426,0.391
11727,névralgie,0.092,0.706,0.439
11728,neurologique,0.500,0.540,0.558
11729,neurologue,0.608,0.500,0.736
11730,neurologie,0.459,0.537,0.580
11731,névrose,0.122,0.766,0.418
11732,neurochirurgien,0.590,0.673,0.755
11733,neurochirurgie,0.490,0.632,0.730
11734,névrosé,0.198,0.801,0.387
11735,neutre,0.621,0.163,0.302
11736,neutre,0.469,0.184,0.357
11737,neutralité,0.469,0.205,0.434
11738,neutraliser,0.519,0.363,0.719
11739,neutron,0.469,0.440,0.679
11740,Nouveau,0.917,0.490,0.582
11741,nouvel Age,0.694,0.556,0.727
11742,NO TRANSLATION,0.802,0.613,0.524
11743,nouveau née,0.918,0.580,0.372
11744,nouveau venu,0.622,0.380,0.396
11745,nouveau jour,0.847,0.388,0.618
11746,nouveau,0.745,0.741,0.520
11747,NO TRANSLATION,0.755,0.643,0.729
11748,nouvelle vie,0.898,0.646,0.701
11749,nouvellement,0.688,0.422,0.552
11750,nouveau marié,0.847,0.706,0.570
11751,nouveau moi,0.643,0.550,0.527
11752,nouveauté,0.740,0.522,0.588
11753,nouvelles,0.633,0.580,0.610
11754,nouvelles,0.531,0.509,0.714
11755,présentateur,0.646,0.510,0.764
11756,newsflash,0.604,0.637,0.518
11757,bulletin,0.622,0.385,0.490
11758,journaliste,0.604,0.480,0.696
11759,journal,0.602,0.283,0.444
11760,journaliste,0.561,0.458,0.750
11761,actualités,0.625,0.571,0.577
11762,rédaction,0.531,0.392,0.658
11763,kiosque à journaux,0.615,0.222,0.336
11764,nouveau départ,0.802,0.510,0.667
11765,triton,0.458,0.380,0.541
11766,nouvel An,0.938,0.784,0.520
11767,lien,0.496,0.368,0.412
11768,plume,0.510,0.282,0.406
11769,grignoter,0.551,0.551,0.411
11770,agréable,0.930,0.442,0.650
11771,niche,0.459,0.413,0.318
11772,NO TRANSLATION,0.406,0.293,0.404
11773,entaille,0.554,0.388,0.387
11774,nickel,0.510,0.347,0.406
11775,surnom,0.490,0.470,0.263
11776,nicotine,0.235,0.608,0.447
11777,nièce,0.771,0.320,0.400
11778,chouette,0.740,0.745,0.815
11779,nègre,0.240,0.347,0.398
11780,près,0.653,0.216,0.336
11781,nuit,0.598,0.396,0.404
11782,bonnet de nuit,0.750,0.196,0.268
11783,boîte de nuit,0.802,0.894,0.528
11784,tombée de la nuit,0.490,0.436,0.426
11785,chemise de nuit,0.643,0.408,0.250
11786,chemise de nuit,0.630,0.388,0.274
11787,Rossignol,0.740,0.340,0.496
11788,vie nocturne,0.542,0.783,0.510
11789,chaque nuit,0.673,0.410,0.474
11790,cauchemar,0.005,0.810,0.436
11791,cauchemars,0.082,0.942,0.448
11792,la table de nuit,0.490,0.130,0.327
11793,matraque,0.500,0.461,0.348
11794,la nuit,0.735,0.385,0.439
11795,nihilisme,0.367,0.510,0.364
11796,néant,0.286,0.143,0.157
11797,agile,0.833,0.729,0.769
11798,nimrod,0.327,0.500,0.539
11799,cornichon,0.365,0.431,0.368
11800,neuf,0.552,0.255,0.327
11801,dix-neuf,0.673,0.304,0.375
11802,quatre vingt dix,0.479,0.349,0.436
11803,ninja,0.542,0.844,0.682
11804,nigaud,0.344,0.343,0.309
11805,Nintendo,0.802,0.571,0.464
11806,neuvième,0.490,0.212,0.396
11807,pincer,0.281,0.700,0.264
11808,pince,0.386,0.422,0.317
11809,mamelon,0.480,0.786,0.415
11810,vif,0.540,0.500,0.416
11811,nitrate,0.388,0.406,0.500
11812,nitro,0.500,0.647,0.639
11813,azote,0.427,0.435,0.562
11814,nitreux,0.435,0.561,0.411
11815,crétin,0.146,0.606,0.139
11816,rien,0.330,0.380,0.404
11817,pas d'anticipation,0.396,0.480,0.341
11818,pas de dégoût,0.510,0.324,0.448
11819,pas d'émotion,0.170,0.109,0.225
11820,aucun sentiment,0.092,0.382,0.278
11821,pas de surprise,0.171,0.224,0.412
11822,pas de confiance,0.055,0.445,0.257
11823,la noblesse,0.844,0.347,0.736
11824,noble,0.906,0.345,0.610
11825,noble,0.675,0.286,0.709
11826,NO TRANSLATION,0.365,0.410,0.354
11827,NO TRANSLATION,0.677,0.164,0.491
11828,nocturne,0.540,0.500,0.462
11829,hochement,0.590,0.367,0.427
11830,hochant la tête,0.694,0.294,0.426
11831,nœud,0.396,0.343,0.361
11832,nodulaire,0.438,0.351,0.411
11833,nodule,0.312,0.426,0.349
11834,caboche,0.510,0.433,0.382
11835,NO TRANSLATION,0.200,0.441,0.385
11836,noir,0.375,0.394,0.365
11837,bruit,0.260,0.883,0.388
11838,bruyant,0.271,0.812,0.561
11839,nomade,0.375,0.413,0.433
11840,nomade,0.427,0.519,0.422
11841,nomenclature,0.500,0.222,0.575
11842,nominal,0.594,0.250,0.463
11843,désigner,0.615,0.471,0.669
11844,nomination,0.663,0.637,0.696
11845,candidat,0.662,0.625,0.765
11846,nonce,0.422,0.370,0.377
11847,nonchalant,0.312,0.314,0.366
11848,non-conformité,0.112,0.598,0.259
11849,quelconque,0.490,0.434,0.348
11850,inexistant,0.208,0.429,0.149
11851,sans gras,0.604,0.260,0.340
11852,non-fiction,0.426,0.315,0.431
11853,non-paiement,0.229,0.510,0.298
11854,non-résident,0.250,0.340,0.302
11855,absurdité,0.214,0.531,0.155
11856,absurde,0.173,0.268,0.193
11857,non violent,0.640,0.287,0.346
11858,Noob,0.417,0.430,0.267
11859,nouille,0.633,0.216,0.225
11860,coin,0.480,0.321,0.296
11861,le midi,0.531,0.343,0.518
11862,nœud coulant,0.356,0.300,0.330
11863,pas de point,0.276,0.324,0.314
11864,NO TRANSLATION,0.469,0.476,0.426
11865,norme,0.500,0.245,0.527
11866,Ordinaire,0.740,0.127,0.380
11867,normalité,0.805,0.151,0.620
11868,normalité,0.781,0.089,0.444
11869,Nord,0.531,0.255,0.450
11870,en direction du nord,0.604,0.454,0.491
11871,nord est,0.562,0.260,0.375
11872,nord,0.570,0.340,0.472
11873,Nord Ouest,0.604,0.345,0.451
11874,nord-ouest,0.479,0.306,0.462
11875,NO TRANSLATION,0.490,0.400,0.380
11876,nez,0.582,0.270,0.245
11877,saignement de nez,0.153,0.776,0.361
11878,curieux,0.276,0.655,0.223
11879,pas de neige,0.392,0.394,0.366
11880,nostalgie,0.417,0.337,0.339
11881,nostalgique,0.458,0.351,0.184
11882,NO TRANSLATION,0.531,0.404,0.415
11883,narine,0.396,0.404,0.316
11884,NO TRANSLATION,0.388,0.380,0.351
11885,curieux,0.292,0.558,0.433
11886,pas négatif,0.622,0.270,0.444
11887,pas positif,0.051,0.370,0.236
11888,notable,0.760,0.450,0.696
11889,notables,0.594,0.608,0.755
11890,notamment,0.792,0.533,0.689
11891,NO TRANSLATION,0.469,0.578,0.440
11892,notaire,0.541,0.451,0.676
11893,notation,0.635,0.380,0.558
11894,entailler,0.459,0.361,0.358
11895,entaillé,0.480,0.530,0.356
11896,Remarque,0.594,0.163,0.416
11897,carnet,0.449,0.167,0.442
11898,c'est noté,0.615,0.382,0.464
11899,remarquable,0.704,0.481,0.759
11900,NO TRANSLATION,0.112,0.320,0.170
11901,NO TRANSLATION,0.635,0.390,0.543
11902,le néant,0.204,0.080,0.161
11903,remarquer,0.646,0.408,0.491
11904,perceptible,0.890,0.562,0.750
11905,notification,0.604,0.461,0.671
11906,notifier,0.643,0.471,0.573
11907,notion,0.612,0.284,0.667
11908,notionnel,0.520,0.288,0.500
11909,notoriété,0.552,0.633,0.769
11910,célèbre,0.366,0.582,0.609
11911,pas prêt,0.133,0.400,0.196
11912,nonobstant,0.367,0.316,0.433
11913,néant,0.312,0.098,0.116
11914,nom,0.531,0.230,0.477
11915,nourrir,0.878,0.460,0.639
11916,nourriture,0.786,0.290,0.631
11917,NO TRANSLATION,0.633,0.438,0.432
11918,roman,0.702,0.352,0.439
11919,romancier,0.340,0.343,0.529
11920,nouveauté,0.673,0.521,0.740
11921,novice,0.429,0.346,0.180
11922,aujourd'hui,0.680,0.346,0.400
11923,pas de travail,0.312,0.264,0.309
11924,pas de soucis,0.630,0.402,0.500
11925,nuisible,0.177,0.585,0.379
11926,ajutage,0.438,0.330,0.287
11927,nuancer,0.408,0.282,0.411
11928,nuances,0.490,0.375,0.527
11929,nucléaire,0.219,0.856,0.781
11930,noyau,0.529,0.296,0.667
11931,nu,0.490,0.915,0.200
11932,coup de coude,0.448,0.500,0.509
11933,nudie,0.500,0.529,0.373
11934,nudiste,0.440,0.796,0.483
11935,nudité,0.438,0.853,0.415
11936,pépite,0.602,0.340,0.348
11937,nuisance,0.198,0.817,0.227
11938,nuke,0.125,0.905,0.873
11939,NO TRANSLATION,0.337,0.358,0.264
11940,nul,0.253,0.147,0.152
11941,annuler,0.255,0.373,0.395
11942,engourdi,0.108,0.420,0.352
11943,nombre,0.406,0.231,0.471
11944,numérotage,0.510,0.363,0.482
11945,Nombres,0.406,0.241,0.440
11946,engourdissement,0.306,0.398,0.265
11947,numbskull,0.300,0.472,0.284
11948,numéral,0.582,0.254,0.382
11949,numérateur,0.490,0.317,0.526
11950,numérique,0.479,0.322,0.517
11951,numériquement,0.510,0.337,0.500
11952,nombreux,0.622,0.462,0.609
11953,NO TRANSLATION,0.500,0.150,0.406
11954,nunchucks,0.337,0.580,0.526
11955,couvent,0.653,0.236,0.473
11956,noce,0.771,0.588,0.571
11957,infirmière,0.635,0.578,0.521
11958,nurse,0.615,0.431,0.436
11959,garderie,0.894,0.406,0.389
11960,allaitement,0.552,0.549,0.653
11961,nourrir,0.745,0.378,0.657
11962,écrou,0.365,0.310,0.250
11963,écrou,0.286,0.775,0.259
11964,casse Noisette,0.635,0.378,0.522
11965,noix,0.347,0.519,0.434
11966,Noix de muscade,0.635,0.302,0.350
11967,nutrition,0.885,0.420,0.579
11968,nutritionnel,0.812,0.406,0.676
11969,nutritif,0.833,0.337,0.655
11970,nutritif,0.875,0.422,0.667
11971,des noisettes,0.594,0.250,0.291
11972,en bref,0.458,0.407,0.310
11973,noisette,0.444,0.317,0.271
11974,nylon,0.490,0.304,0.295
11975,NO TRANSLATION,0.439,0.248,0.351
11976,nylons,0.556,0.379,0.320
11977,nymphe,0.542,0.529,0.472
11978,nymphomane,0.398,0.894,0.536
11979,lourdaud,0.344,0.357,0.330
11980,chêne,0.583,0.245,0.536
11981,rame,0.469,0.392,0.316
11982,oasis,0.796,0.283,0.429
11983,avoine,0.622,0.170,0.298
11984,serment,0.543,0.615,0.824
11985,farine d'avoine,0.592,0.192,0.241
11986,obéissance,0.765,0.287,0.536
11987,obéissant,0.800,0.179,0.518
11988,docilement,0.802,0.304,0.577
11989,obélisque,0.604,0.408,0.596
11990,obèse,0.133,0.427,0.250
11991,obésité,0.215,0.370,0.328
11992,obéit,0.677,0.433,0.533
11993,obi,0.469,0.442,0.414
11994,obit,0.410,0.464,0.393
11995,nécrologie,0.188,0.330,0.423
11996,objet,0.531,0.356,0.375
11997,objection,0.347,0.592,0.709
11998,répréhensible,0.459,0.382,0.558
11999,objectif,0.724,0.337,0.736
12000,objectivité,0.765,0.431,0.711
12001,obligation,0.222,0.596,0.718
12002,obligatoire,0.337,0.571,0.780
12003,obliger,0.281,0.770,0.614
12004,obligé,0.327,0.680,0.411
12005,obligeant,0.740,0.402,0.545
12006,débiteur,0.302,0.600,0.360
12007,oblique,0.438,0.347,0.455
12008,effacer,0.250,0.539,0.569
12009,oblitéré,0.240,0.469,0.344
12010,oblitération,0.177,0.622,0.397
12011,oubli,0.153,0.330,0.282
12012,inconscient,0.229,0.388,0.355
12013,oblong,0.561,0.455,0.370
12014,odieux,0.088,0.602,0.256
12015,hautbois,0.510,0.340,0.392
12016,obscène,0.050,0.745,0.348
12017,obscénité,0.083,0.843,0.418
12018,obscur,0.370,0.551,0.278
12019,obscurci,0.115,0.356,0.298
12020,obscurité,0.208,0.392,0.380
12021,observance,0.531,0.315,0.632
12022,observateur,0.740,0.422,0.708
12023,observation,0.633,0.433,0.667
12024,observatoire,0.643,0.324,0.731
12025,observer,0.771,0.390,0.360
12026,observateur,0.663,0.363,0.603
12027,observer,0.583,0.400,0.685
12028,obséder,0.112,0.846,0.509
12029,obsédé,0.219,0.840,0.439
12030,obsédant,0.173,0.773,0.698
12031,obsession,0.229,0.847,0.571
12032,obsessionnel,0.219,0.823,0.480
12033,obsolescence,0.250,0.431,0.377
12034,obsolète,0.337,0.321,0.250
12035,obstacle,0.204,0.708,0.336
12036,obstétricien,0.521,0.636,0.604
12037,obstétrique,0.530,0.582,0.564
12038,obstiné,0.146,0.696,0.562
12039,obstruer,0.115,0.660,0.458
12040,obstruction,0.125,0.742,0.491
12041,obstructif,0.204,0.650,0.613
12042,obtenir,0.760,0.438,0.731
12043,disponible,0.677,0.327,0.702
12044,obtus,0.281,0.460,0.345
12045,face,0.470,0.394,0.464
12046,évident,0.625,0.336,0.585
12047,ocarina,0.541,0.392,0.366
12048,occasion,0.700,0.451,0.398
12049,occasionnel,0.490,0.298,0.387
12050,parfois,0.538,0.240,0.264
12051,occipital,0.398,0.408,0.518
12052,occlusion,0.306,0.439,0.442
12053,occulte,0.292,0.382,0.406
12054,occupation,0.625,0.471,0.721
12055,occupant,0.500,0.417,0.483
12056,Occupation,0.562,0.470,0.692
12057,professionnel,0.583,0.469,0.596
12058,occupé,0.337,0.546,0.441
12059,occupant,0.427,0.438,0.600
12060,occuper,0.396,0.520,0.589
12061,occupant,0.573,0.462,0.519
12062,se produire,0.451,0.561,0.510
12063,occurrence,0.573,0.690,0.541
12064,ocd,0.333,0.472,0.370
12065,océan,0.823,0.308,0.642
12066,océanique,0.740,0.317,0.632
12067,octogone,0.602,0.349,0.462
12068,octave,0.438,0.380,0.482
12069,poulpe,0.713,0.378,0.411
12070,oculaire,0.418,0.370,0.400
12071,impair,0.265,0.337,0.302
12072,excentrique,0.316,0.360,0.357
12073,singularité,0.312,0.557,0.386
12074,chances,0.500,0.472,0.680
12075,ode,0.604,0.269,0.519
12076,odieux,0.235,0.708,0.235
12077,odomètre,0.367,0.470,0.388
12078,odeur,0.337,0.363,0.404
12079,odyssée,0.622,0.692,0.710
12080,oedipienne,0.312,0.575,0.509
12081,oestrogène,0.521,0.608,0.561
